step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
121,39752,968,0.0449742544037872,0.5,0.5,0.035316276501034735,1.0,1.0,,,,,,
122,39952,976,0.0503070618568745,0.875,0.875,,,,,,,,,
123,40408,984,0.03520941900338844,0.625,0.625,,,,,,,,,
124,40608,992,0.05942919475918947,0.625,0.625,,,,,,,,,
125,40872,1000,0.04202136401669123,0.875,0.875,,,,,,,,,
126,41392,1008,0.027601178725008144,0.875,0.875,,,,,,,,,
127,41784,1016,0.03980187165958341,0.375,0.375,,,,,,,,,
128,42048,1024,0.05380095423468447,0.625,0.625,,,,,,,,,
129,42376,1032,0.03984526761603774,0.625,0.625,0.03714200611527,0.5,0.5,,,,,,
130,42704,1040,0.04605627450044267,0.625,0.625,,,,,,,,,
131,43096,1048,0.029487856270182727,0.75,0.75,,,,,,,,,
132,43424,1056,0.0346115482340756,0.75,0.75,,,,,,,,,
133,43752,1064,0.049820877751219086,0.5,0.5,,,,,,,,,
134,44016,1072,0.03900308630698419,0.875,0.875,,,,,,,,,
135,44280,1080,0.05286171371815726,0.375,0.375,,,,,,,,,
136,44608,1088,0.03903591963014332,0.75,0.75,,,,,,,,,
137,45064,1096,0.03866574986494795,0.5,0.5,0.02747310092926325,0.875,0.875,,,,,,
138,45264,1104,0.052841552409227,0.75,0.75,,,,,,,,,
139,45592,1112,0.03421211642801063,0.75,0.75,,,,,,,,,
140,46112,1120,0.020846083659498617,0.875,0.875,,,,,,,,,
141,46312,1128,0.06654743252380285,0.625,0.625,,,,,,,,,
142,46576,1136,0.033627475351058825,0.75,0.75,,,,,,,,,
143,46904,1144,0.0363880839861813,0.625,0.625,,,,,,,,,
144,47104,1152,0.051842166485782104,0.75,0.75,,,,,,,,,
145,47560,1160,0.03383850443343233,0.625,0.625,0.03890673403829472,0.625,0.625,,,,,,
146,48208,1168,0.015955566468895992,0.875,0.875,,,,,,,,,
147,48472,1176,0.03702210147304868,0.75,0.75,,,,,,,,,
148,48736,1184,0.06069750852446305,0.5,0.5,,,,,,,,,
149,49000,1192,0.03447502888931921,1.0,1.0,,,,,,,,,
150,49456,1200,0.03423279746140386,0.75,0.75,,,,,,,,,
151,49656,1208,0.055611215339789244,0.75,0.75,,,,,,,,,
152,50240,1216,0.03207793243536597,0.375,0.375,,,,,,,,,
153,50632,1224,0.032874976247088246,0.625,0.625,0.02083262162415647,0.875,0.875,,,,,,
154,50832,1232,0.09130605298113854,0.375,0.375,,,,,,,,,
155,51224,1240,0.03198450564431672,1.0,1.0,,,,,,,,,
156,51552,1248,0.049161973603302614,0.625,0.625,,,,,,,,,
157,52072,1256,0.025476365126887685,0.625,0.625,,,,,,,,,
158,52272,1264,0.10064936508628307,0.5,0.5,,,,,,,,,
159,52536,1272,0.048150740356068124,0.75,0.75,,,,,,,,,
160,52800,1280,0.05563330459866847,0.5,0.5,,,,,,,,,
161,53128,1288,0.045238283061422406,0.375,0.375,0.036355196334421636,0.625,0.625,,,,,,
162,53520,1296,0.03515066338746691,0.625,0.625,,,,,,,,,
163,53912,1304,0.031084194813738576,0.75,0.75,,,,,,,,,
164,54112,1312,0.06167563735623844,0.75,0.75,,,,,,,,,
165,54376,1320,0.05819085082111996,0.5,0.5,,,,,,,,,
166,54896,1328,0.03015337897293648,0.625,0.625,,,,,,,,,
167,55288,1336,0.035105774487359055,0.5,0.5,,,,,,,,,
168,55680,1344,0.035438451903416227,0.625,0.625,,,,,,,,,
169,55944,1352,0.0437960978873889,0.75,0.75,0.03340625457499603,0.875,0.875,,,,,,
170,56272,1360,0.04288613480259664,0.875,0.875,,,,,,,,,
171,56536,1368,0.04964400060609478,0.625,0.625,,,,,,,,,
172,56864,1376,0.04284315058076754,0.875,0.875,,,,,,,,,
173,57192,1384,0.04055323669902282,0.875,0.875,,,,,,,,,
174,57648,1392,0.033532796800386025,0.875,0.875,,,,,,,,,
175,57976,1400,0.04983196742588188,0.375,0.375,,,,,,,,,
176,58240,1408,0.04666982737035142,0.75,0.75,,,,,,,,,
177,58696,1416,0.03514241821488083,0.5,0.5,0.058420756023188004,0.75,0.75,,,,,,
178,58960,1424,0.03524245728336609,1.0,1.0,,,,,,,,,
179,59288,1432,0.03840260717977071,0.5,0.5,,,,,,,,,
180,59552,1440,0.04581887199601624,0.875,0.875,,,,,,,,,
181,59816,1448,0.05247085136868464,0.75,0.75,,,,,,,,,
182,60080,1456,0.05586027446945081,0.5,0.5,,,,,,,,,
183,60728,1464,0.018076396517186365,0.875,0.875,,,,,,,,,
184,61184,1472,0.02952575266903815,1.0,1.0,,,,,,,,,
185,61512,1480,0.03481448398249632,0.75,0.75,0.045370889900630575,0.5,0.5,,,,,,
186,61712,1488,0.04605724016408203,0.875,0.875,,,,,,,,,
187,62040,1496,0.04340761994090281,0.625,0.625,,,,,,,,,
188,62368,1504,0.04089671103710861,0.875,0.875,,,,,,,,,
189,62696,1512,0.0420133921688539,0.75,0.75,,,,,,,,,
190,62960,1520,0.04692619649919834,0.75,0.75,,,,,,,,,
191,63224,1528,0.04420934783672237,1.0,1.0,,,,,,,,,
192,63424,1536,0.05246288271067897,0.625,0.625,,,,,,,,,
193,63752,1544,0.03732000064763997,0.875,0.875,0.06775778671376731,0.5,0.5,,,,,,
194,64016,1552,0.08064112799861506,0.25,0.25,,,,,,,,,
195,64344,1560,0.04369489112775773,0.5,0.5,,,,,,,,,
196,64736,1568,0.03309292382495187,0.75,0.75,,,,,,,,,
197,65128,1576,0.03369480997651408,0.75,0.75,,,,,,,,,
198,65328,1584,0.04971349854868701,0.75,0.75,,,,,,,,,
199,65528,1592,0.05461118564907035,0.625,0.625,,,,,,,,,
200,65856,1600,0.04679237426706823,0.5,0.5,,,,,,,,,
201,66248,1608,0.03994955793001281,0.625,0.625,0.024025550405915256,0.75,0.75,,,,,,
202,66896,1616,0.019211603560019285,1.0,1.0,,,,,,,,,
203,67160,1624,0.04109822396749223,0.75,0.75,,,,,,,,,
204,67552,1632,0.02921297778695589,0.875,0.875,,,,,,,,,
205,67880,1640,0.05372665938537102,0.625,0.625,,,,,,,,,
206,68080,1648,0.05437762331819007,0.75,0.75,,,,,,,,,
207,68536,1656,0.039407909397476557,0.5,0.5,,,,,,,,,
208,68864,1664,0.03153068498009816,1.0,1.0,,,,,,,,,
209,69064,1672,0.0625156186123786,0.625,0.625,0.0405655430877232,0.5,0.5,,,,,,
210,69264,1680,0.0559895892344745,0.75,0.75,,,,,,,,,
211,69592,1688,0.0378554672056489,0.625,0.625,,,,,,,,,
212,69856,1696,0.060560814337077315,0.625,0.625,,,,,,,,,
213,70184,1704,0.033777396853460234,0.875,0.875,,,,,,,,,
214,70384,1712,0.05414429024482767,0.875,0.875,,,,,,,,,
215,70712,1720,0.03719991934664722,0.75,0.75,,,,,,,,,
216,71104,1728,0.02759685174626308,0.75,0.75,,,,,,,,,
217,71368,1736,0.04995047930831788,0.75,0.75,0.037677138183425996,0.75,0.75,,,,,,
218,71696,1744,0.05141285703555332,0.625,0.625,,,,,,,,,
219,71960,1752,0.03031524383659416,0.875,0.875,,,,,,,,,
220,72288,1760,0.03677586288782823,0.75,0.75,,,,,,,,,
221,72488,1768,0.05672696143514864,0.75,0.75,,,,,,,,,
222,72752,1776,0.038094426721145276,0.875,0.875,,,,,,,,,
223,73016,1784,0.03387070316175595,0.875,0.875,,,,,,,,,
224,73408,1792,0.03684154683802869,0.625,0.625,,,,,,,,,
225,73608,1800,0.0667384011036241,0.5,0.5,0.05892087533536444,0.625,0.625,,,,,,
226,74000,1808,0.045100766868490606,0.5,0.5,,,,,,,,,
227,74264,1816,0.03709889868283426,0.875,0.875,,,,,,,,,
228,74592,1824,0.04025547228922369,0.75,0.75,,,,,,,,,
229,74984,1832,0.017293195629936232,1.0,1.0,,,,,,,,,
230,75504,1840,0.03651592764501857,0.75,0.75,,,,,,,,,
231,75768,1848,0.045178036459947175,0.75,0.75,,,,,,,,,
232,76288,1856,0.02686260292828592,0.75,0.75,,,,,,,,,
233,76616,1864,0.05130951869073034,0.625,0.625,0.04018356038155616,0.75,0.75,,,,,,
234,77072,1872,0.027708110467896667,0.875,0.875,,,,,,,,,
235,77336,1880,0.049718752836324716,0.375,0.375,,,,,,,,,
236,77472,1888,0.037799050600078765,1.0,1.0,,,,,,,,,
237,77736,1896,0.04591215827631459,0.875,0.875,,,,,,,,,
238,78000,1904,0.03945043407065896,0.875,0.875,,,,,,,,,
239,78584,1912,0.03354517993860807,0.625,0.625,,,,,,,,,
240,78912,1920,0.05410157633191557,0.5,0.5,,,,,,,,,
241,79176,1928,0.060856073374852715,0.375,0.375,0.09250156657162732,0.5,0.5,,,,,,
242,79568,1936,0.03305571198632,1.0,1.0,,,,,,,,,
243,80024,1944,0.03403792596494896,0.875,0.875,,,,,,,,,
244,80416,1952,0.027616981978862896,0.75,0.75,,,,,,,,,
245,80680,1960,0.0397316102865807,0.875,0.875,,,,,,,,,
246,81072,1968,0.034814969241573034,0.625,0.625,,,,,,,,,
247,81464,1976,0.02836137779790685,0.875,0.875,,,,,,,,,
248,81792,1984,0.03937585885703447,0.625,0.625,,,,,,,,,
249,82184,1992,0.03685355313483645,0.5,0.5,0.03452364408512949,0.75,0.75,,,,,,
250,82512,2000,0.04625512139499188,0.625,0.625,,,,,,,,,
251,82776,2008,0.04129065973043908,0.75,0.75,,,,,,,,,
252,83040,2016,0.03912588946528558,0.75,0.75,,,,,,,,,
253,83240,2024,0.06557501065622394,0.875,0.875,,,,,,,,,
254,83568,2032,0.049830981219653035,0.75,0.75,,,,,,,,,
255,83832,2040,0.03868389236420627,0.625,0.625,,,,,,,,,
256,84032,2048,0.045232258053535285,0.75,0.75,,,,,,,,,
257,84232,2056,0.042742854330820895,0.75,0.75,0.05679227088787593,0.5,0.5,,,,,,
258,84560,2064,0.03879743772459915,0.75,0.75,,,,,,,,,
259,84824,2072,0.03742178000809872,0.875,0.875,,,,,,,,,
260,85088,2080,0.048069894039999776,0.625,0.625,,,,,,,,,
261,85480,2088,0.03522158859511062,0.875,0.875,,,,,,,,,
262,85808,2096,0.04435654328865348,0.625,0.625,,,,,,,,,
263,86200,2104,0.03164096232304776,1.0,1.0,,,,,,,,,
264,86592,2112,0.04236886583441447,0.625,0.625,,,,,,,,,
265,86856,2120,0.044618040400964676,0.75,0.75,0.041400466387698544,0.875,0.875,,,,,,
266,87376,2128,0.030554848325609785,0.5,0.5,,,,,,,,,
267,87704,2136,0.0406774967124511,0.625,0.625,,,,,,,,,
268,88032,2144,0.03545727938102209,1.0,1.0,,,,,,,,,
269,88360,2152,0.03920051059653633,0.875,0.875,,,,,,,,,
270,88816,2160,0.02742257094057485,0.75,0.75,,,,,,,,,
271,89016,2168,0.04077719387816615,1.0,1.0,,,,,,,,,
272,89344,2176,0.05201876341519528,0.75,0.75,,,,,,,,,
273,89736,2184,0.03629369274841641,0.5,0.5,0.039809194377114186,0.75,0.75,,,,,,
274,89936,2192,0.04303061950180564,0.75,0.75,,,,,,,,,
275,90200,2200,0.03667758115389006,0.875,0.875,,,,,,,,,
276,90528,2208,0.043674322845210556,0.625,0.625,,,,,,,,,
277,90856,2216,0.027511885631538467,0.875,0.875,,,,,,,,,
278,91120,2224,0.05545944323797812,0.5,0.5,,,,,,,,,
279,91448,2232,0.042701713033631676,0.75,0.75,,,,,,,,,
280,91776,2240,0.02653749795646581,1.0,1.0,,,,,,,,,
281,91976,2248,0.05966561575677285,0.625,0.625,0.043309093668722196,0.875,0.875,,,,,,
282,92432,2256,0.026072254171064874,0.75,0.75,,,,,,,,,
283,92760,2264,0.023773053726057695,1.0,1.0,,,,,,,,,
284,92960,2272,0.05110775670798224,0.875,0.875,,,,,,,,,
285,93288,2280,0.032806609094368465,1.0,1.0,,,,,,,,,
286,93552,2288,0.04351609644657401,0.875,0.875,,,,,,,,,
287,93944,2296,0.03717701460458556,0.625,0.625,,,,,,,,,
288,94144,2304,0.07204341196971654,0.375,0.375,,,,,,,,,
289,94408,2312,0.04240835458766014,1.0,1.0,0.031208872099659852,0.5,0.5,,,,,,
290,94672,2320,0.0486408224694469,0.75,0.75,,,,,,,,,
291,94872,2328,0.06467003376546927,0.75,0.75,,,,,,,,,
292,95136,2336,0.052406393963092344,0.625,0.625,,,,,,,,,
293,95400,2344,0.03417684057788392,0.875,0.875,,,,,,,,,
294,95728,2352,0.04166118670042488,1.0,1.0,,,,,,,,,
295,95928,2360,0.04632681121496717,0.875,0.875,,,,,,,,,
296,96320,2368,0.030854915093562644,0.875,0.875,,,,,,,,,
297,96776,2376,0.033620162084636314,0.625,0.625,0.025990873764288457,1.0,1.0,,,,,,
298,97040,2384,0.04012487382089602,0.75,0.75,,,,,,,,,
299,97432,2392,0.034915723931444514,0.75,0.75,,,,,,,,,
300,97760,2400,0.03876654827706807,0.75,0.75,,,,,,,,,
301,97960,2408,0.06205259467620636,0.625,0.625,,,,,,,,,
302,98352,2416,0.041609097530260146,0.5,0.5,,,,,,,,,
303,98616,2424,0.03580152680308857,0.75,0.75,,,,,,,,,
304,99008,2432,0.031373575269280994,0.75,0.75,,,,,,,,,
305,99336,2440,0.05000554239019404,0.5,0.5,0.03535116692431984,0.875,0.875,,,,,,
306,99600,2448,0.05634752415353432,0.5,0.5,,,,,,,,,
307,99928,2456,0.03857042003720563,0.625,0.625,,,,,,,,,
308,100192,2464,0.04233474744804879,0.875,0.875,,,,,,,,,
309,100584,2472,0.028033468506037027,0.875,0.875,,,,,,,,,
310,100912,2480,0.03090816483607341,1.0,1.0,,,,,,,,,
311,101240,2488,0.03394880804906279,0.75,0.75,,,,,,,,,
312,101504,2496,0.04037854446309211,0.75,0.75,,,,,,,,,
313,101704,2504,0.07656548472038897,0.5,0.5,0.046496438655097644,0.5,0.5,,,,,,
314,102096,2512,0.05098775622922403,0.625,0.625,,,,,,,,,
315,102424,2520,0.04292579118351568,0.75,0.75,,,,,,,,,
316,102880,2528,0.03170350247134463,0.625,0.625,,,,,,,,,
317,103208,2536,0.03925516978486848,0.875,0.875,,,,,,,,,
318,103536,2544,0.04653387130866031,0.625,0.625,,,,,,,,,
319,103736,2552,0.0415305024689466,0.875,0.875,,,,,,,,,
320,104000,2560,0.031592852459671125,0.75,0.75,,,,,,,,,
321,104392,2568,0.039140579805316524,0.625,0.625,0.04772264135424848,0.75,0.75,,,,,,
322,104592,2576,0.044448935432883446,0.75,0.75,,,,,,,,,
323,104920,2584,0.04210126247776498,0.75,0.75,,,,,,,,,
324,105184,2592,0.07646243785513433,0.375,0.375,,,,,,,,,
325,105512,2600,0.049221306992141764,0.5,0.5,,,,,,,,,
326,105776,2608,0.03385052309691673,0.875,0.875,,,,,,,,,
327,106104,2616,0.03859972493542592,0.75,0.75,,,,,,,,,
328,106368,2624,0.05436327882393016,0.75,0.75,,,,,,,,,
329,106696,2632,0.0399942552340508,0.75,0.75,0.0460014799083486,0.75,0.75,,,,,,
330,106896,2640,0.06822453447316851,0.625,0.625,,,,,,,,,
331,107224,2648,0.03183247180048784,1.0,1.0,,,,,,,,,
332,107552,2656,0.0388102393107838,0.75,0.75,,,,,,,,,
333,107944,2664,0.02933044388300914,0.75,0.75,,,,,,,,,
334,108528,2672,0.033058343299409085,0.375,0.375,,,,,,,,,
335,108856,2680,0.04034852233962738,0.5,0.5,,,,,,,,,
336,109184,2688,0.038666011261899266,0.625,0.625,,,,,,,,,
337,109384,2696,0.046590365482940495,0.75,0.75,0.037770837681528065,1.0,1.0,,,,,,
338,109712,2704,0.039383752662455654,0.5,0.5,,,,,,,,,
339,110104,2712,0.03375028166107465,0.875,0.875,,,,,,,,,
340,110432,2720,0.034459088572853944,0.75,0.75,,,,,,,,,
341,110888,2728,0.02542909249108302,0.625,0.625,,,,,,,,,
342,111280,2736,0.03284524252992317,0.875,0.875,,,,,,,,,
343,111480,2744,0.05390897335614379,0.875,0.875,,,,,,,,,
344,111680,2752,0.056661750457951715,0.625,0.625,,,,,,,,,
345,111944,2760,0.06511659511332253,0.5,0.5,0.03496308454251751,0.625,0.625,,,,,,
346,112272,2768,0.03417757629349944,0.875,0.875,,,,,,,,,
347,112600,2776,0.042347447787062266,0.75,0.75,,,,,,,,,
348,112928,2784,0.0392513080406643,0.75,0.75,,,,,,,,,
349,113192,2792,0.04775247300072806,0.875,0.875,,,,,,,,,
350,113520,2800,0.037529323430906515,1.0,1.0,,,,,,,,,
351,113848,2808,0.025565045340481447,0.75,0.75,,,,,,,,,
352,114368,2816,0.022692714576664916,0.875,0.875,,,,,,,,,
353,114632,2824,0.060833266802460456,0.5,0.5,0.050851224095149514,0.5,0.5,,,,,,
354,115024,2832,0.02385672046231775,0.875,0.875,,,,,,,,,
355,115288,2840,0.040978587095642074,0.875,0.875,,,,,,,,,
356,115808,2848,0.025501977688836636,0.625,0.625,,,,,,,,,
357,116136,2856,0.04781503623866592,0.75,0.75,,,,,,,,,
358,116656,2864,0.026357590745160454,0.75,0.75,,,,,,,,,
359,117112,2872,0.029294668035519344,0.625,0.625,,,,,,,,,
360,117568,2880,0.01798751979456678,0.75,0.75,,,,,,,,,
361,117960,2888,0.030283094787895,1.0,1.0,0.037185021919198334,0.875,0.875,,,,,,
362,118352,2896,0.022726656271624956,0.875,0.875,,,,,,,,,
363,118744,2904,0.023189040263726687,0.875,0.875,,,,,,,,,
364,118944,2912,0.0402190455469948,1.0,1.0,,,,,,,,,
365,119144,2920,0.058155976745135084,0.75,0.75,,,,,,,,,
366,119536,2928,0.04279967207225127,0.5,0.5,,,,,,,,,
367,120056,2936,0.028614610293889196,0.625,0.625,,,,,,,,,
368,120384,2944,0.053000309743460094,0.625,0.625,,,,,,,,,
369,120584,2952,0.04572166020196164,0.875,0.875,0.04215502689541609,0.75,0.75,,,,,,
370,120848,2960,0.03666002010874081,1.0,1.0,,,,,,,,,
371,121240,2968,0.03321339499933553,0.75,0.75,,,,,,,,,
372,121696,2976,0.027797625945443414,0.625,0.625,,,,,,,,,
373,121960,2984,0.03809034396414063,0.75,0.75,,,,,,,,,
374,122288,2992,0.032887934126250906,0.875,0.875,,,,,,,,,
375,122616,3000,0.031726372941942825,1.0,1.0,,,,,,,,,
376,122944,3008,0.04654800472826901,0.75,0.75,,,,,,,,,
377,123272,3016,0.03750073125533527,0.625,0.625,0.03308420793060577,0.875,0.875,,,,,,
378,123472,3024,0.039166967838997764,0.875,0.875,,,,,,,,,
379,123736,3032,0.046108382769593836,0.625,0.625,,,,,,,,,
380,124128,3040,0.02643121716064949,0.75,0.75,,,,,,,,,
381,124456,3048,0.03944231184266027,0.875,0.875,,,,,,,,,
382,124912,3056,0.026939211446629734,0.875,0.875,,,,,,,,,
